X,Y,Label
7441,16118,0
6874,16242,0
6651,16819,0
6695,16287,0
6738,16040,0
6785,15493,0
6858,15579,0
6608,16090,0
6764,16606,0
6802,16450,0
6749,15667,0
6536,16486,0
6841,16091,0
6309,16401,0
6486,15153,0
6001,15702,0
6087,16055,0
6429,15632,0
6217,15839,0
5962,15505,0
6413,15589,0
6008,15464,0
6329,16204,0
6175,15708,0
5932,16367,0
6595,15893,0
5745,15610,0
6387,15514,0
5928,15968,0
6371,16118,0
6228,15835,0
6025,15281,0
6392,15913,0
7057,15908,0
7222,16453,0
7297,15738,0
7107,15787,0
6541,15377,0
6399,15830,0
6578,15241,0
6209,14549,0
5812,14518,0
5853,15969,0
5688,15123,0
6062,14949,0
5931,15077,0
6133,14751,0
5555,16241,85
5887,15378,85
5802,14829,85
6138,15149,85
6507,15032,85
5878,14869,85
5880,13869,85
5958,14383,85
5432,14591,85
5926,15464,85
5936,15259,85
6359,15731,85
6318,15724,85
6455,16888,85
6576,15226,85
7309,15176,85
7246,16744,85
6790,16008,0
6588,14254,0
6203,14711,0
8619,17270,0
7989,18618,0
8558,17793,0
8268,17632,0
8393,17994,0
8444,17445,0
8249,18979,0
8188,17995,0
8353,17906,0
8343,17529,0
8569,17781,0
8769,17726,0
8737,17350,0
8853,17693,0
8498,17187,0
8295,18479,0
8317,17797,0
8095,17849,0
8097,17561,0
8196,18148,0
7498,17416,0
7245,18047,0
7360,16387,0
7175,17705,0
7139,16570,0
7158,17514,0
7073,18396,0
7399,17624,0
7428,17655,0
7444,17457,0
7224,17403,0
7627,18474,0
7844,17930,0
7805,18440,0
7523,18247,0
7737,18320,0
7474,18693,0
7343,17529,0
8113,19032,0
8016,18174,0
8083,18802,0
7744,17749,0
8016,17225,0
7465,19258,0
8009,18527,0
7488,19145,0
7339,18781,0
8203,18529,0
8303,18541,0
7421,18718,0
8111,18309,0
7208,18129,0
6886,18823,0
8310,18217,0
7885,18815,0
7884,17999,0
7785,18741,0
7740,18542,0
7742,18513,0
7253,19178,0
7425,18528,0
7707,18051,0
7297,17135,0
7040,18333,0
7377,18959,0
7463,17440,0
7360,18086,21
7841,19048,21
7879,17915,21
7915,19038,21
7530,18212,21
7719,18091,21
7625,18428,21
7490,18916,21
7342,17877,21
7460,18548,21
8300,18510,21
7823,18552,21
8230,18580,21
7996,19369,21
8091,17938,21
8785,17967,21
8028,17630,21
8328,19830,21
9073,19105,21
9460,19625,21
9023,19544,21
9587,20399,21
10057,19843,21
10985,19559,21
10445,20983,21
10574,20400,21
10174,19176,6
9677,19276,6
10379,19866,6
10065,19820,6
